OD;Abolição;Acari;Alto da Boa Vista;Anchieta;Andaraí;Anil;Bancários;Bangu;Barra da Tijuca;Barra de Guaratiba;Barros Filho;Benfica;Bento Ribeiro;Bonsucesso;Botafogo;Brás de Pina;Cachambi;Cacuia;Caju;Camorim;Campinho;Campo Grande;Campo dos Afonsos;Cascadura;Catete;Catumbi;Cavalcanti;Centro;Cidade Nova;Cidade Universitária;Cidade de Deus;Cocotá;Coelho Neto;Colégio;Complexo do Alemão;Copacabana;Cordovil;Cosme Velho;Cosmos;Costa Barros;Curicica;Del Castilho;Deodoro;Encantado;Engenheiro Leal;Engenho Novo;Engenho da Rainha;Engenho de Dentro;Estácio;Flamengo;Freguesia (Ilha);Freguesia (Jacarepaguá);Galeão;Gamboa;Gardênia Azul;Gericinó;Glória;Grajaú;Grumari;Guadalupe;Guaratiba;Gávea;Higienópolis;Honório Gurgel;Hunaitá;Inhaúma;Inhoaíba;Ipanema;Irajá;Itanhangá;Jabour;Jacarepaguá;Jacarezinho;Jacaré;Jardim América;Jardim Botânico;Jardim Carioca;Jardim Guanabara;Jardim Sulacap;Joá;Lapa;Lagoa;Laranjeiras;Leblon;Leme;Lins de Vasconcelos;Madureira;Magalhães Bastos;Mangueira;Manguinhos;Maracanã;Marechal Hermes;Maria da Graça;Maré;Moneró;Méier;Olaria;Osvaldo Cruz;Paciência;Padre Miguel;Parada de Lucas;Parque Anchieta;Parque Colúmbia;Pavuna;Pechincha;Pedra de Guaratiba;Penha;Penha Circular;Piedade;Pilares;Pitangueiras;Portuguesa;Praia da Bandeira;Praça Seca;Praça da Bandeira;Quintino Bocaiúva;Ramos;Realengo;Recreio dos Bandeirantes;Riachuelo;Ribeira;Ricardo de Albuquerque;Rio Comprido;Rocha;Rocha Miranda;Rocinha;Sampaio;Santa Cruz;Santa Teresa;Santo Cristo;Santíssimo;Saúde;Senador Camará;Senador Vasconcelos;Sepetiba;São Conrado;São Cristóvão;São Francisco Xavier;Tanque;Taquara;Tauá;Tijuca;Todos os Santos;Tomás Coelho;Turiaçu;Urca;Vargem Grande;Vargem Pequena;Vasco da Gama;Vaz Lobo;Vicente de Carvalho;Vidigal;Vigário Geral;Vila Isabel;Vila Kennedy;Vila Kosmos;Vila Militar;Vila Valqueire;Vila da Penha;Vista Alegre;Zumbi;Água Santa
Abolição;1509.293;;;;238.432;;;;260.035;;81.961;;;;;;;;1612.904;;;;;;;;;;;;;;;;;66.401;;;;;;1690.562;7.291;;;;917.979;975.232;;;;;;32.306;;;;;;;;;;;;;;;32.346;;;;;;;;;;;;;;;;;;347.994;;;36.402;222.868;;69.404;;;329.315;;237.173;;;;;;;;;;160.929;177.653;;;;;;;;;196.337;;;;;73.748;;;;;;;;;;;;;;896.177;;;;;;65.24;;;;;;;;;;;;;231.393;;43.445;;;;
Acari;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alto da Boa Vista;;;5901.867;;8.726;14;;;1940.426;;;;;;;;;;135.109;4.612;;193.008;;;156.063;;;;108.252;;;;36.908;;181.83;1452.98;;;;;352.266;;20.883;59.366;;29.763;;19.186;73.113;293.05;;39.085;;;;;7.465;9.991;;;74.782;2147.151;;;491.167;;;1543.44;;210.362;;601.111;;;101.123;258.664;;;;;558.264;;602.231;1047.153;;;5.098;149.339;;116.313;430.552;44.966;;208.613;;438.523;;54.474;;;70.161;;;94.584;;;;460.765;2.363;;;;;;45.993;141.435;;83.466;45.875;;;215.358;1168.837;;;;;;26.01;;;;;;;156.995;257.961;;4.51;;;1589.764;13.028;;;221.709;;;;;;;9.22;42.866;;646.784;;;;;;
Anchieta;;;;3163.192;;;;559.005;302.014;;;;;;;80.109;;;215.679;;;;;;74.496;;;;;1267.762;;;;;;51.958;;;;;;;217.864;;;;;119.106;146.016;186.305;;77.408;112.188;;;;;;;1558.892;;71.611;;146.016;;;;;205.563;;;;;;;;;;;;157.246;;;;;;205.64;280.959;;284.158;85.557;1648.64;;175.928;;146.016;;285.154;;;;2524.967;;1774.722;98.198;;103.913;;;;;;;;;;;233.416;48.734;;;295.347;;;;;;217.852;;45.176;;75.294;;;;;814.7;;143.704;;;;147.811;;;;;;;;;;;;;698.851;119.883;310.937;;;;
Andaraí;159.51;;11.633;;;54.854;;348.079;71.266;;;;;72.007;;;;;38.289;;;;;;228.808;;;;746.349;;;;;52.5;82.763;191.226;;;;;139.6;;;;;180.578;;605.422;80.31;116.501;;;;67.276;;;;731.377;;;;129.585;;;;;;;12.961;;;82.44;;;;;;;;;22.251;;;;;;136.518;;36.692;;1274.171;;156.041;297.451;;1249.12;;;;;;;;;;;29.91;155.467;129.712;;;;;301.45;262.612;;;;155.411;;;;;;;;;;251.019;30.294;;;;;;20.166;22.908;;;;189.821;2536.611;;;31.356;;;;;;;;287.457;2710.632;;;211.097;;;;;
Anil;;;18.288;;122.965;122.965;;;1661.366;;;;;;;;;;;;;;;;;;;;135.514;;475.151;;;;;61.119;;;;;;;;;;;;;;;;1143.291;;;;;;;;;;;;;;;;66.32;182.418;58.866;;908.13;;;;;;;;;;;;739.734;;;;;;;;;;;;217.61;;;;;;;;;157.905;;;;;;;;;252.936;;149.842;;54.771;283.053;;;;;;;;;;;;;;;;;146.706;;;169.117;;;;;;;;;;;;;199.208;;;;;;133.88;;;;
Bancários;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bangu;;;240.947;771.91;452.04;;;128170.031;6994.504;;105.099;;1733.267;886.388;;;;;1209.884;;485.548;40981.057;1690.023;1017.357;415.148;;;;424.28;571.656;284.626;;;;;1132.724;;;2455.224;313.053;165.707;1140.935;1740.845;;;104.626;2481.577;789.154;;137.91;;1158.66;756.214;;;;1928.84;387.552;;1521.424;63.394;2373.511;;363.566;;;239.217;1573.03;4937.879;48.619;;308.754;60.618;;288.63;;;;1982.835;;1793.885;;220.66;2460.76;339.733;;4272.042;5324.75;78.484;313.895;2922.775;4703;1047.625;557.359;;1514.3;;825.983;956.664;;325.061;360.611;;1513.661;416.161;363.543;742.266;970.373;521.473;;;;;;329.245;414.472;569.249;14901.911;479.021;;;228.012;;202.187;;;;4822.749;;20.029;2530.022;528.092;6858.492;4560.872;152.021;4.805;786.768;;;;;1006.319;492.597;;178.673;;1591.685;;;;;;147.327;322.618;;365.808;144.819;4948.145;;;;
Barra da Tijuca;759.015;;2477.125;919.766;100.799;2393.018;;5263.483;90840.1;;206.28;;402.314;429.074;;;678.412;;1613.89;1504.552;198.11;4747.836;270.388;1514.257;407.34;;;;294.158;2753.026;5649.343;;450.072;;298.684;5050.651;;;277.85;650.532;3751.895;926.585;56.039;52.859;;356.942;1623.251;1317.804;139.808;1319.053;;9859.963;1978.925;1187.384;;;205.323;1648.248;3.901;418.936;5317.937;11389.657;;277.85;390.895;138.644;;8662.131;1218.755;7779.384;;20736.225;86.091;;40.075;175.297;;720.324;370.757;;1541.398;;2326.272;6516.091;255.465;;2100.579;206.392;;626.82;3235.494;1082.95;;2711.987;;848.128;128.112;107.728;175.001;;;;;3046.137;2233.326;727.313;535.821;1930.358;1334.171;;;;;2948.405;900.996;171.781;1216.786;225.63;14932.86;584.07;;12.637;40.969;46.022;234.117;;213.997;6512.811;806.174;166.817;452.556;612.053;228.734;169.13;1146.171;3295.192;1041.158;;3990.861;;958.923;6367.628;216.328;;46.289;341.407;1955.725;1662.913;;;434.867;;78.068;4162.91;;96.997;;3102.556;;;;
Barra de Guaratiba;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Barros Filho;121.38;;;;;;;873.499;67.443;;958.32;;542.687;87.659;;;;;67.214;;;74.291;;239.638;54.149;;;;39.476;33.523;;;53.539;;;51.046;247.898;;;;;335.265;64.979;;;;;;;;;203.029;11.452;92.687;;;;;;322.623;;;;108.298;;;;112.759;758.153;;;30.653;;;;;;;;;;;;65.45;;;347.053;;;;;965.902;;;;;;;;;;;;444.7;;;;38.536;;;;;;;71.1;;;134.651;;;;;;;93.423;;;;;;;;;;;;94.955;;;;;;54.149;;157.131;;;;;;;;;;;;;;;;;
Benfica;;;;;;;;;;;;470.258;;26.827;;;395.911;;66.32;23.614;;;;;;;;;;431.294;;;;;;57.863;;;;;;325.439;;;;76.947;;104.01;;;;;;;;;;;;;;;;;;;;;;;;;171.271;;;;;96.736;;;;;105.934;20.865;;;;80.951;;52.86;;139.539;64.43;;;145.948;;;;;;;;;;;;89.792;;;;;;;;104.8;;;;66.285;;;;;;;;;;;;;;;;;288.805;;;;;106.198;91.328;;;;;;;;;;;53.767;;;;;;;;
Bento Ribeiro;;;;;;;;1445.834;260.252;;401.332;;3098.962;154.051;;;;;420.6;186.407;81.872;1326.22;5.443;1020.472;;;;;;;;;;;403.985;;113.237;;;;;;14.858;;27.71;;;;;171.269;;;;;;;;887.381;;322.544;6.809;;;264.028;;;105.26;;908.929;;;162.355;81.343;;;;;;323.669;;;;;;;;3823.895;229.202;;;700.606;2156.014;;;;105.26;;2026.265;;;;;;333.214;;;;;;;;;;;319.765;141.623;127.63;1106.646;;;;;;;341.428;;25.62;;;;;626.221;;;;;61.673;;;;;;192.066;;60.299;;;;;;;;;;;;164.522;3973.682;;;;
Bonsucesso;;;;;110.023;;;1295.401;392.086;;74.482;87.728;329.81;2291.898;;90.434;;;40.571;;67.705;839.882;;362.445;179.229;;;;88.179;391.008;;;;;1151.592;321.674;144.124;;;;;1444.683;30.228;;;325.177;1352.796;457.335;61.518;;134.924;;416.841;47.198;;;;702.001;;65.616;;;;;;;;118.592;2226.569;;;209.521;2063.857;;;;;;;;18.026;;202.009;;;;651.384;265.025;;813.766;561.937;;307.703;4024.788;;763.398;687.746;;;;67.906;225.414;;180.965;;;2133.212;1108.842;191.79;;;;;;61.518;105.268;746.12;;125.432;100.451;;;27.935;193.16;721.887;;;28.886;69.516;;;58.786;;;;;618.231;;243.852;;;3240.575;20.191;;146.387;;;;;;;;;351.053;;295.915;;263.895;;;;
Botafogo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brás de Pina;;;;177.368;;;;;294.57;;;;;139.628;;366.433;;;;;;;;;;;;;83.754;224.575;;;149.337;;;;1873.361;;;185.069;51.623;184.597;158.245;;;;168.149;;;;;;260.605;;;;19.394;;;;;;;;;;;98.488;7671.53;;;;;;;;;;;;74.654;;342.279;;;;;;;;190.076;;;618.636;;;;;;;185.833;;;;;;4828.593;12709.687;;;;;;;;217.622;281.47;;;;;;;;;;;;;;;;;;;;45.148;;;;;81.803;;;;;;;;;;;461.695;124.789;;;;;;;;
Cachambi;;;;;;;;;596.587;;;435.204;;;;;;;;;;45.582;;;;;;;;;;;;;;514.139;;;;;;1831.365;;;;311.747;317.884;278.572;;;;;75.616;;;;;133.175;;;184.357;1362.809;;;;;;123.807;24.671;;;99.761;1423.568;;;;;;;;;;238.391;742.335;;;261.426;180.637;;661.133;616.055;;362.93;170.071;;1473.995;;;;;;133.079;;;;;;136.74;424.756;;;;;;;548.287;;;;;;;76.179;202.871;;;;;;3.44;;;;;;20.166;356.141;;;;;256.918;835.154;;;;;;;;;;;672.316;;189.811;;;;;;
Cacuia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Caju;37.411;;142.627;414.802;28.499;;;2505.388;583.826;;189.364;68.262;236.681;91.532;;;;;4608.939;;131.621;1132.746;8.907;289.703;612.199;;;;34.154;429.296;39.408;43.82;171.054;;16.721;1155.012;;;610.702;;151.354;123.368;66.843;;;473.931;357.637;46.656;256.581;14.551;;;105.048;543.53;;;94.731;296.45;;247.688;214.013;296.807;;;50.232;;;1683.881;1318.567;;;141.723;105.897;;160.431;;;;;;206.263;;817.437;1043.108;;;392.916;;74.403;663.519;641.346;499.721;16.781;908.336;;70.86;22.379;;552.689;;22.053;195.258;;802.652;318.188;;521.752;748.052;255.872;;;;;25.096;564.267;;201.267;1007.254;6.768;94.371;;;69.667;;;;;281.128;135.012;125.749;368.947;177.109;;;;56.187;6008.333;;36.114;;240.75;750.511;;;;76.167;;;;;148.902;180.622;126.98;6455.847;;352.748;19.101;;;;;
Camorim;;;49.33;;;;;;374.102;;;57.399;249.401;;;;;;;36.688;67.037;;;;;;;;4.923;87.402;;;;;;;;;;;14.342;;;;;;;;;;;356.244;;;;;;;;;;;;;;;;;78.054;;;606.584;;;;;;;;;;;;;;;16.6;;;;;;;;;;;;213.005;;;;;;;;;;7.181;;;;;;;;;264.63;478.873;;;;;;;;;;;;;3.501;;;;;;;;;;;;;;;75.792;242.647;;;;;;;;;62.609;;;;;
Campinho;;;;;;;;789.219;153.644;;;;67.499;44.775;;;;;235.774;27.578;565.32;193.627;;57.03;;;;;;29.259;430.906;;;;;31.033;;;;;;126.792;11.706;;;82.885;;114.06;;;;610.849;;99.3;;;;;;;;;;;;;;;183.107;;;248.982;74.121;;;;;;;;;;45.699;;;;918.023;;;;45.699;;;;;95.349;;776.328;;;;;;;;;56.005;;;;;;;1217.022;57.03;138.306;;204.69;;;;90.857;;;;;187.282;;;;;;;;;;45.699;;;;;183.026;;;77.41;;;;;;;;;49.65;;;;1295.223;;;;
Campo Grande;;;166.347;;;;;23652.284;4921.869;;107.911;;364.184;302.358;;;23.477;;453.029;;167.336;174393.063;126.665;443.969;574.306;;;;;;;179.708;;;;;;;6115.903;;;227.207;119.907;;;;1076.118;;;521.435;;635.822;210.058;880.472;;;;583.629;14.951;785.691;14175.812;;;;;;4140.992;1815.346;1400.985;;;465.708;;;;;;179.708;900.616;;;;177.327;746.964;;;1075.638;;;9.699;1077.592;723.935;;358.162;;738.355;119.869;402.744;13875.36;;;;;784.332;;2606.151;46.85;532.557;173.158;;;283.241;;;272.255;;465.462;1002.526;677.022;;;;;;129.499;;;18230.637;126.896;;3182.441;;1119.577;5873.597;2622.215;;417.1;;219.765;;;554.554;252.965;;;261.158;306.778;83.766;;;;;;;;;194.917;;;;;
Campo dos Afonsos;;;;;;;;1840.099;51.025;;;;23.244;;;;;;12.69;;;376.497;703.698;125.446;;;;;;101.862;;;;;;;;;;;;8.194;30.006;;;;;21.861;;;;;101.592;;;;;;;298.718;;;;;;;;;188.162;;;75.45;;;;;;;240.551;;;;;;;;251.249;559.481;;;343.806;233.131;65.213;5.654;;34.454;;127.198;;;;;;25.119;;;12.15;65.119;464.524;;;;;;;;;357.355;;;;242.456;;;;;;104.407;;;203.045;;;;;;;;;;;38.265;;;;;;;;;85.27;;;;;;95.022;1246.552;;;;
Cascadura;;;;;;;;652.525;829.63;;56.67;;259.943;51.12;;;;;298.606;;358.301;99.168;22.098;1986.626;;;;;172.346;;;;331.767;;211.839;48.372;;;;;698.838;643.097;66.507;130.985;170.514;114.184;1209.663;752.709;;;;153.32;933.419;100.288;;;;254.906;;320.969;65.754;;;272.142;;64.949;;517.115;1442.283;32.136;;605.925;366.395;;;;;;138.308;;21.074;;;;;;2906.302;193.732;50.618;198.903;296.915;283.009;127.264;251.753;;1686.013;;1398.388;;;;;;619.7;144.901;;222.594;427.138;1344.797;;;;;1162.812;58.818;1650.289;;31.71;30.208;;;;;37.122;517.506;;;;;;;;;;68.559;133.179;379.492;;885.42;;39.702;830.12;471.991;;75.419;;42.397;225.218;;;794.087;;;51.992;;451.116;;385.839;;;;
Catete;;;210.391;183.386;;;;640.694;469.794;;89.652;;;102.264;;;;;912.21;;;674.92;;;3193.816;;;;;987.88;93.661;;;;;4176.631;103.627;;;;;;;;;206.524;405.917;419.386;859.556;1808.759;;;;643.099;;;1231.194;;;;;965.935;;;800.524;;;2927.865;;;;37.9;11.987;;159.646;286.146;;;;;117.962;;5352.856;261.042;1552.424;;;;;170.441;917.688;;;2094.424;;788.832;114.358;61.393;;;;;;;106.653;;;221.68;;;;;;;;;;;;;;;343.161;;;;;;2473.677;14.077;;828.471;355.256;;;177.598;1364.323;;;;;1454.762;967.163;;99.83;154.829;;;;;;;;89.956;;153.997;;;;;;
Catumbi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cavalcanti;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Centro;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cidade Nova;;;46.231;;295.112;147.155;;590.785;62.492;;169.495;;;59.935;;169.719;;;45.219;17.11;;;;150.019;;;;;49.879;36.549;;255.41;;;179.885;109.321;151.671;;;;;148.996;23.537;;;87.812;;529.414;257.749;147.963;;;33.061;61.729;;;;567.951;;797.456;;840.389;;;130.618;;;1131.753;138.329;;;104.446;658.677;;;60.841;;;;;;;399.399;31.178;118.241;;175.552;;196.495;15.792;811.184;;;111.317;;1417.929;;174.159;;;32.685;;;136.436;;;72.847;144.92;28.988;;;;;;565.355;;113.554;618.067;;60.315;;;171.448;88.343;58.275;;31.404;269.864;446.898;;;13.061;;242.918;71.564;;263.667;;;;;745.358;;;;10.235;;;;;66.094;;;932.229;;;;81.178;;;;
Cidade Universitária;;;;730.145;;;;1173.176;1247.66;;358.659;32.033;;28.97;;33.356;;;443.586;;27.237;;15.924;;534.582;;;;31.585;489.082;;495.551;;129.959;;602.597;842.754;;;;;147.414;81.698;;;808.112;222.678;;;161.823;20.325;923.915;151.312;26.841;;;;1052.267;;;;99.141;;;147.791;;;848.841;670.303;;;581.535;458.2;;;;;960.322;;;1481.391;;2429.998;277.331;;;1127.629;;;;407.334;450.034;202.088;4222.61;;838.204;157.848;;404.609;;110.498;669.532;;39.851;424.996;28.845;360.816;2719.232;611.471;;;664.95;;;228.925;134.408;254.675;23.789;692.383;;;;;273.803;;;;;543.51;41.31;;176.375;;;;23.114;685.238;;;;1683.469;2300.87;;;;320.637;;83.766;;;538.794;;;;;;;1236.01;;;;
Cidade de Deus;;;;;;286.787;;191.033;2832.068;;;;;;;;;;27.377;;;;;;90.08;;;;;;;;;;;;;;;;1162.473;;;;;;;524.969;89.806;;;1881.38;;;;;;;;;3.978;891.284;;;;;;;324.317;;;464.706;197.381;;;;;;;;;;;;;;141.618;161.487;;;414.652;;;211.76;;;;83.998;;;;;;;;;231.9;;90.246;;;;;;;;;;241.405;;;;;;;;;;;;;;;;;;;;1282.534;;;230.538;;;;;;66.605;;;;;;;;;;;;;;
Cocotá;;;;;;;;;;;;;;;;;;;111.465;;;467.056;;;;;;;1304.082;732.582;;3572.286;;;;;411.948;;;;;;;;;;;;;;1715.719;;2150.29;;;;;;;;;48.797;;;;;;;;;;;;;;;;4982.269;;;;;;;;;;;;;210.244;;;1094.983;;;;;;;220.735;;;141.165;;;;819.887;;;;5490.083;;;;;;;;;;;115.401;;;;;;;;;;;;;;527.626;;;;6908.623;568.061;368.51;;;;;;;;;;;;;;;;;;;
Coelho Neto;;;377.335;;;;;;564.923;;70.299;;;;;;;;96.912;;;;;561.441;;;;;;;;;615.005;96.678;;106.7;108.211;;;241.8;;776.697;15.953;;;;;;;66.427;;525.519;;;;;;;;103.813;;;;;;1003.889;;;2943.601;;;;;;;;;;;;;;96.463;;;;1387.308;;;;;603.739;;187.352;;;;;620.697;;377.013;;;1125.725;;;78.788;400.784;;;;;;;108.6;;;509.418;;;;;;;1650.642;;;;110.711;;;;232.553;;;;1853.297;;;;;;149.067;;235.205;;;;;;;;;;;403.803;;;;;;
Colégio;;;;;77.246;;;;;;;;;;;;;;;;;;;;;;;;;;;;96.678;149.819;;;103.911;;;;;;;;;;;;;;;;;;;;;;;;;;;147.297;;;;;3312.58;;;;665.499;;;;;;;;371.549;;;;;;1183.853;;;;140.638;;;94.738;;74.295;;;;;;;;82.265;;;;434.661;;;;;;;;;;;;;;;;;595.394;;;;;;68.317;;;;;;71.129;;;;;;;;64.559;;;;;;;;;;;;;;;;;
Complexo do Alemão;;;160.377;;95.709;;;;218.318;;;;633.405;794.266;;;;;24.767;;;;;240.038;;;;;396.053;;;;;;6527.606;132.221;;;;;;2073.984;;;68.435;97.157;2355.114;244.322;;152.878;114.298;;207.881;261.445;;;;;;1906.15;;284.932;;;;1977.636;;;868.312;;;;188.068;;;;;;;;1008.512;;;;;;;;90.359;31.2;1712.921;;531.307;3929.564;;776.441;2262.226;;;;263.894;;;1099.948;;;2099.39;748.342;;;;;;;620.365;;2559.198;;;;;;;;157.241;;;;;;;157.684;;;;;788.376;;;;107.44;167.749;110.008;;;410.892;;;;;322.546;;103.787;896.547;;140.088;;;;;;
Copacabana;104.358;;2373.466;231.873;;252.142;;1692.999;10794.059;;225.886;170.06;;851.616;;656.099;973.684;;3953.157;;86.254;;;226.202;8890.283;;;;40.526;4118.053;;;;;133.14;22434.481;730.275;;;;;189.826;33.923;34.868;155.44;1235.173;666.232;1864.33;377.047;1714.712;;519.706;60.623;2107.175;;;3626.56;459.411;;148.748;845.679;9974.317;;;1108.841;;;19329.706;945.709;535.594;;4706.207;1841.846;;;1039.599;;;14.994;;5583.513;;17719.196;9016.383;1965.152;;364.783;104.525;78.67;365.619;6030.472;159.024;539.654;1272.96;;7527.976;;921.43;;;;500.722;;120.858;83.209;182.649;1919.967;2055.735;866.971;;;123.491;;;;;218.363;231.301;590.658;418.756;;46.166;;308.608;;;48.749;381.119;4318.071;205.021;;531.704;;;197.4;1381.089;6650.084;;242.739;;1044.834;11797.356;737.129;;79.103;3394.93;120.763;53.026;;;34.622;1306.451;156.702;4590.431;;87.132;;;;;;
