OD;Abolição;Acari;Alto da Boa Vista;Anchieta;Andaraí;Anil;Bancários;Bangu;Barra da Tijuca;Barra de Guaratiba;Barros Filho;Benfica;Bento Ribeiro;Bonsucesso;Botafogo;Brás de Pina;Cachambi;Cacuia;Caju;Camorim;Campinho;Campo Grande;Campo dos Afonsos;Cascadura;Catete;Catumbi;Cavalcanti;Centro;Cidade Nova;Cidade Universitária;Cidade de Deus;Cocotá;Coelho Neto;Colégio;Complexo do Alemão;Copacabana;Cordovil;Cosme Velho;Cosmos;Costa Barros;Curicica;Del Castilho;Deodoro;Encantado;Engenheiro Leal;Engenho Novo;Engenho da Rainha;Engenho de Dentro;Estácio;Flamengo;Freguesia (Ilha);Freguesia (Jacarepaguá);Galeão;Gamboa;Gardênia Azul;Gericinó;Glória;Grajaú;Grumari;Guadalupe;Guaratiba;Gávea;Higienópolis;Honório Gurgel;Hunaitá;Inhaúma;Inhoaíba;Ipanema;Irajá;Itanhangá;Jabour;Jacarepaguá;Jacarezinho;Jacaré;Jardim América;Jardim Botânico;Jardim Carioca;Jardim Guanabara;Jardim Sulacap;Joá;Lapa;Lagoa;Laranjeiras;Leblon;Leme;Lins de Vasconcelos;Madureira;Magalhães Bastos;Mangueira;Manguinhos;Maracanã;Marechal Hermes;Maria da Graça;Maré;Moneró;Méier;Olaria;Osvaldo Cruz;Paciência;Padre Miguel;Parada de Lucas;Parque Anchieta;Parque Colúmbia;Pavuna;Pechincha;Pedra de Guaratiba;Penha;Penha Circular;Piedade;Pilares;Pitangueiras;Portuguesa;Praia da Bandeira;Praça Seca;Praça da Bandeira;Quintino Bocaiúva;Ramos;Realengo;Recreio dos Bandeirantes;Riachuelo;Ribeira;Ricardo de Albuquerque;Rio Comprido;Rocha;Rocha Miranda;Rocinha;Sampaio;Santa Cruz;Santa Teresa;Santo Cristo;Santíssimo;Saúde;Senador Camará;Senador Vasconcelos;Sepetiba;São Conrado;São Cristóvão;São Francisco Xavier;Tanque;Taquara;Tauá;Tijuca;Todos os Santos;Tomás Coelho;Turiaçu;Urca;Vargem Grande;Vargem Pequena;Vasco da Gama;Vaz Lobo;Vicente de Carvalho;Vidigal;Vigário Geral;Vila Isabel;Vila Kennedy;Vila Kosmos;Vila Militar;Vila Valqueire;Vila da Penha;Vista Alegre;Zumbi;Água Santa
Quintino Bocaiúva;;;293.669;;;148.223;;444.853;329.165;;;127.101;127.269;118.574;;167.411;597.058;;;;141.725;;;1490.375;;;;;;64.978;36.835;;;;128.242;158.917;;;;;127.101;1032.242;29.855;77.067;89.222;751.998;713.658;2443.222;;39.33;;;40.663;;;;;171.866;;275.568;;;;;;177.778;;;202.083;;;45.81;248.151;;;;;;;;;;249.821;120.974;;;1739.952;501.596;64.212;;391.757;74.534;223.672;637.049;;3366.24;;216.613;;;;;;302.482;;;473.942;97.87;2635.47;;;;;;286.455;1087.956;58.381;;;;;;;94.042;103.208;;27.256;;;;;;;;;;340.773;;323.769;;;;1465.464;;168.502;309.537;;;;;485.271;;220.481;263.03;;242.658;;355.402;;;;
Ramos;;;;;;;;1493.69;738.84;;;;177.794;601.311;;185.906;;;319.65;;;969.818;;;;;;;151.254;320.2;;;;;2470.993;36.19;806.478;;736.355;1487.728;;381.469;16.998;;;209.049;957.934;308.438;;84.908;;;3621.919;;;;;;;237.761;;;;;;84.335;;461.01;314.778;;;;304.274;;;85.162;;177.712;;;;;224.756;;;;1226.231;;48.715;149.632;770.173;224.165;302.48;4948.443;;266.322;1124.019;;;;30.083;;;;836.746;146.081;4983.055;2936.642;;;;638.559;;;;130.634;1739.018;246.797;;;;;;162.183;;;;;45.912;;;;;;;;174.034;;;;1341.029;1149.805;;;;268.499;;;;;;;;150.33;;;;;;;;
Realengo;337.06;;26.879;161.159;;15.823;;13432.985;190.357;;100.539;;1499.872;;;;;;913.369;209.499;40.411;2245.332;283.476;21.14;;;;;264.35;253.747;;;355.141;;;88.511;1731.246;;432.818;54.392;;;300.656;;;;;;;;;14.406;;;;;;;;409.536;;146.778;;;;;;173.071;2710.406;;;248.787;34.802;;;;;;187;;;;35.503;;;;196.015;582.148;;99.991;90.682;1420.036;;238.495;;151.124;;294.654;;;;616.966;;207.918;;;3.789;19.013;;;;;;1098.545;;;1796.194;9303.883;782.934;;;;;;154.536;;;428.408;;;539.661;;;;;;432.023;;16.833;;;375.545;359.722;;;;;;;;;;;222.871;;396.777;292.001;671.81;;;;
Recreio dos Bandeirantes;;;200.526;126.834;524.415;341.392;;554.843;16145.358;;;;;46.152;;;;;54.575;292.078;;840.382;;88.81;;;;;;208.939;349.392;;;;;386.046;;;;;292.546;;;;;38.991;209.995;;;;380.312;1004.66;1117.04;;;;;;11.111;;1315.066;;;;55.963;;;242.301;500.09;243.132;;3493.289;14.485;;;;;;44.177;;446.152;;;1216.866;143.59;;462.314;;;;162.431;240.435;;479.208;;684.896;;720.026;278.008;;327.454;;;373.329;429.22;166.1;;;;;;;;;;;;2537.772;19959.742;;;114.711;547.235;;;;107.91;514.158;616.582;;163.625;;;;;231.191;482.106;;454.204;;185.346;473.464;265.544;;;;4757.435;1399.393;;;;;;185.81;;;;;;;;
Riachuelo;;;;;;;;;139.657;;;70.38;;70.38;;;;;99.18;;;;;;;;;;122.784;;;;;;114.305;116.971;114.649;;;;;588.055;;;;510.002;;205.351;;;;;;;;;;;;;;57.071;;;;;;188.173;185.1;;;18.273;;;122.729;;;;;;;;84.606;;;;;;;;442.728;;;66.157;;345.688;;;;;116.805;;;;;;;;;;;;;;60.574;;;;;;;;;;;;40.028;;;;;;;;;;23.228;;;;;172.146;62.153;;;;;;;;;;;237.347;;;;;;;;
Ribeira;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ricardo de Albuquerque;;;396.076;320.904;;;;180.51;23.634;;;;;;;;;;;;117.411;;264.755;109.187;;;;;;;;;;;;36.082;;;;;;;156.224;;;;120.821;;;;;;;;;;;;;143.367;;;;;;;;;;;;71.252;;;;;;;;;;;;;;;;;;;;;64.524;;;;;;;;;264.129;;708.808;;;;61.721;;;;;;;;;;102.635;207.304;;;563.554;59.115;;;;;;;;;;;;;;;;62.569;;;146.462;;;;;;;;;;;126.061;;;;;;;;;
Rio Comprido;;;321.535;;;;;;217.285;;;;;63.341;;;113.115;;149.978;;;;;;146.987;;;;235.055;;;80.796;;;;18.452;;;;;;;13.714;;;87.869;;;96.215;44.515;;;52.634;;;;;;;;;;;;;;;;99.098;;;;45.215;;;;;;;;;;342.424;65.028;17.142;;;;259.787;;493.197;;;;;;;;;;;;;;;;;;;;;;;;;;;;733.386;;;203.052;129.857;;;;;40.693;740.706;;;;;;;;132.795;;;;;652.861;;;;;;;;;;;;;;;27.114;;;;;
Rocha;;;;;;;;85.247;16.778;;;;;303.48;;;184.582;;;;;;;64.816;;;;;261.664;29.68;;;;;;108.462;49.798;;;;;;112.078;;;451.799;106.176;177.818;;29.876;;158.797;;;;;;;;;;;;;14.515;;;;46.366;;;43.871;1437.856;;;;;;;;;;77.231;390.894;;;96.461;;;110.685;1030.721;;;253.676;;1487.921;;62.786;;;;;;101.431;;;;298.8;22.429;;;;;;;148.722;201.669;;;;;;;;;;54.094;;166.521;;;;190.436;;;;351.916;;80.032;;;501.626;96.172;;;82.554;;;;;;;213.185;239.541;;;;;;;;
Rocha Miranda;;;;;;;;;112.396;;122.668;;625.271;167.515;;;;;;;;118.444;;501.212;;;;;70.238;;;;1640.127;616.744;116.437;;124.901;;;;;93.944;9.512;;;;;315.141;;;;276.407;188.005;;;;;;;755.626;;;;812.729;;;;;3797.263;;;;144.149;;;;;;;;;;57.915;;;;906.58;;;;;364.924;;180.669;;41.758;;;;;;96.604;;596.885;;;;138.474;;;;;;152.887;;103.341;;162.623;;;;;;;1277.226;;;;;;;;;;;;186.78;;;;;106.049;;;584.839;;;;;;;;;165.066;;;;460.132;;;;
Rocinha;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sampaio;;;;;;;;;233.052;;;;49.046;;;;;;;;683.142;;;;;;;;37.823;;;;;;;96.377;;;;;;;;;;170.807;;35.323;;774.356;;;;;;;;29.22;;;;;;;;;;492.338;;;;;32.697;;;;;;;;;;39.43;;;;;;;;66.748;;;;;87.348;;;;;;;;;;;;;;;;;;;;26.14;;;54.036;45.433;;;;70.998;;;;;;;;;;;;;45.898;;;;;34.524;26.659;;;15.897;;;;;;;;28.554;;;;;;;;
Santa Cruz;;;;258.897;;;;2816.926;4819.159;;;;;;;;;;306.197;;;18376.331;16.634;;;;;;555.492;;;;;;;342.724;;;2884.886;;;;174.754;;;;84.971;;;;;278.771;16.232;216.771;;;;;;;1013.096;;;;;;178.754;;623.366;207.234;;240.968;;;;98.982;;120.058;210.308;;;;287.219;;;;635.948;;;81.632;116.177;702.032;;128.779;;;;;11113.872;;;;;;;971.141;;815.508;;;;;;;;;;318.202;303.553;;;;;;;;;72528.823;;;687.027;;;397.638;6172.638;215.343;14.105;;;;;530.837;;;;;;;;;;;223.426;;;;27.194;237.827;;;;
Santa Teresa;;;78.654;;167.525;;;;841.02;;;;;90.439;;;;;92.105;;;299.043;;;1925.949;;;;701.929;70.236;;;125.633;;;1355.549;;;;;;211.984;;;;497.364;1731.967;189.202;1069.083;1143.284;;;61.631;671.011;;;401.17;1108.41;;;;1259.918;;254.739;896.606;291.662;;334.232;285.483;229.457;;;43.136;;;509.412;;;;;722.606;;4632.395;4674.71;7.062;;51.753;;84.604;285.722;1956.151;;;1423.055;;612.37;211.462;;;;27.374;;;;;;166.347;92.515;;;;;;;102.5;;57.982;;254.421;;;;436.613;316.991;;;;;5077.88;;;244.154;;;;3.719;329.99;;;;;3962.959;;;81.957;512.501;;31.995;;;;;110.464;1060.398;;170.339;24.179;;;;;
Santo Cristo;;;;363.39;11.528;;;6.847;176.526;;;;;;;;8.716;;204.85;;;;7.65;;32.769;;;;;31.357;;;;;;130.4;123.524;;;;;135.285;;;;;;;32.562;;;;;105.236;;;75.594;106.117;;;;11.418;;;;;;;6.988;;;;25.544;;;7.191;;;;;;;282.981;44.457;3.322;;;;;43.104;212.715;;;273.638;;;;;;;60.642;;;;;;49.84;;;;;;;;;;;;;;;;;;;;;;16.54;21.368;;599.214;;;11.502;;241.661;;;;;482.172;;;;26.978;;;;;;;;50.855;;;;;;;;
Santíssimo;;;;;;;;2300.963;272.647;;;;;;;;;;265.31;;;3130.04;63.761;;;;;;;;;;;100.503;;;;;;;;;;;;;;;;;;;;;;;;;;;711.825;;;;;;178.754;;661.032;;;;;;;;;;;;;;;;;;;;;;;187.433;;;;;;;111.435;;;;;;;171.004;;68.465;74.539;;;;;;;;;653.507;64.768;;;;;;;;;452.723;;;3675.83;;377.932;192.266;;;;;;;;77.219;;;;;;;;;;;;;;;;;;;;
Saúde;;;;208.74;;;;49.128;388.306;;;;;59.935;;;;;232.896;9.393;;;;;629.428;;;;32.339;165.085;;;;;753.258;2091.559;;;;339.019;;304.852;30.77;;;;;223.392;570.766;167.581;;;10.175;374.172;;;;222.41;;;;;;85.262;;;;72.403;730.297;;;;2343.825;;;;;;;;;;368.922;381.037;;;;455.175;179.992;15.387;292.771;;1287.182;610.513;;;;96.433;;;94.068;;;86.659;;;;221.335;651.02;;;131.66;;;;;;;;;;;;;;;;;231.454;372.357;;;;;;;107.07;;99.534;;;43.075;;;489.828;4.988;;;;;;;255.999;128.938;;205.822;;;;;;
Senador Camará;;;;;;;;5217.782;78.754;;;;;;;;;;;;;1106.089;;;129.553;;;;;;;;153.701;;;;;;;;;;;;;49.789;196.725;;;;;167.562;;;;;;;;;;;;;;;;142.188;;;;;;;;;;;;;;;;116.828;;;;;;2051.781;;247.554;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;134.425;;;;;;;234.153;;;;;;;;;;;;;;;;;;;;;;;;;;53.73;;;;;
Senador Vasconcelos;;;;;;;;1088.396;21.77;;;;;;;;;;;;;4979.298;;;;;;;706.971;;;;;;;;;;132.208;;;;;;;;;;;;;;;;;;;;;;310.067;;;;;;389.962;;;;;;;;;;;;;;;;;;;;440.93;;;;;;;;;;;;370.365;;;;;;;;;;;;;;;;;;;;;;;;;;;;;165.682;;;460.263;;;1178.008;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sepetiba;;;;;;;;188.374;981.723;;;;;;;;;;;;;2585.517;;54.069;;;;;88.799;;;;;;;40.102;;;;;;;;;;;;;;;;;;79.881;;;;;;;819.652;;;;;;;;162.519;;;;;;;;;;;;;;;;;;397.656;;;6.688;;105.971;;;;;;;1089.245;;;;;;;;274.147;;57.412;;;;;118.39;;;;;;;;;;;;;;5854.944;;3.674;;;;;4351.828;;;;;;;;;;;;;;;;;;;;;;;;;;;
São Conrado;;;296.766;;5.963;312.532;;18.475;3955.888;;;;;;;;6.468;;106.499;;;67.057;;73.274;265.905;;;;;214.456;;;;;;1455.53;;;;;405.907;;7.904;;;;;;;10.58;;719.911;47.188;;;;33.955;;;;19.355;7173.835;;;95.698;;;2362.451;;808.462;;1994.593;;;;786.874;;;51.447;;468.973;;648.428;2573.234;;;;;;121.008;341.865;;;9.377;;245.42;;;;;;;;;;;;19.9;25.299;;;;;30.577;197.054;;;;340.272;;;;;;;;;247.456;5.385;;;;;;;2064.44;35.387;;272.621;;;61.817;;;;59.723;;;;;;51.978;;;;;;;;;;
São Cristóvão;746.899;;164.794;924.845;65.6;;;469.44;680.852;;195.536;273.397;260.525;848.789;;25.46;579.141;;5570.262;;69.479;268.18;;698.872;472.897;;;;358.081;259.409;;178.104;536.028;115.603;914.55;1741.886;462.347;;;540.698;11.758;890.354;9.916;79.682;;576.689;1051.036;21.57;68.385;67.995;436.102;;137.935;207.432;;;23.699;1516.83;;15.754;;364.98;;86.361;227.321;81.331;;1272.141;2272.688;;;121.375;1057.903;;;43.492;;;206.856;;877.796;;300.704;610.46;46.46;;1003.216;;832.665;2199.327;1890.41;2193.279;505.324;1660.477;;;809.252;105.484;;;81.704;268.256;;616.54;;;937.577;964.057;562.591;;;262.443;;;414.696;228.262;168.202;360.557;201.797;;;;294.803;210.383;210.088;;26.071;11.071;732.704;92.438;;90.925;;;;59.46;8636.63;;;;867.177;1175.039;701.492;;60.41;93.089;;79.384;;;231.113;;750.865;2704.818;;219.266;33.224;122.486;;;;
São Francisco Xavier;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tanque;;;31.571;508.461;;147.696;;;3427.471;;;;266.925;229.315;;;;;116.101;;;605.969;;1520.112;;;;;;;1517.746;;;;;179.593;;;;;;559.284;12.1;;;108.868;;455.954;160.252;282.768;;5347.684;;158.96;;;;;;;;;;;;;;;280.827;57.074;;5321.602;;;;;;;;;;;;;;;1993.357;;74.324;;640.336;207.243;;;;385.561;;;;;30.382;;;61.098;673.617;88.445;240.076;664.635;684.279;;;;;2561.778;;314.02;;122.96;411.279;;;104.33;;61.028;;;;;;;;89.813;;;;142.423;;;6264.513;;;;;;;;235.052;59.578;;;;;;;;;37.166;714.68;;;;
Taquara;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tauá;;;;;94.014;;;;1968.281;;;;;;;;;;345.389;;;;;79.228;;;;;;1246.822;;6733.953;;;238.58;387.165;139.506;;;;;379.466;;;;66.619;206.088;133.875;;;7134.886;;3827.156;;;;;;;;;;;;;;;1590.372;1414.482;;;184.03;;;;;;3710.583;;;;;34.356;;;;59.344;;;;818.565;;;1114.11;;;;;;;680.222;;;;;;218.282;;;;;8555.448;;;;;337.56;;1226.694;;;;;;;;;;;;;;;;;;1273.881;;;;14517.051;901.108;;;;100.797;;;;;;;258.552;;;;;;;;;
Tijuca;;;966.843;;2445.817;;;1360.215;3944.61;;;125.525;;4857.509;;169.719;276.338;;1442.415;;99.004;1939.851;100.394;599.619;2665.508;;;;666.695;1420.872;332.106;289.958;;;294.373;4337.703;;;873.269;;;226.629;788.608;43.799;;1755.111;236.234;932.807;359.399;2236.458;;2491.803;82.704;751.402;;;2189.163;6971.164;;;;2383.889;;76.572;819.886;;;4561.934;759.873;29.117;;1019.695;550.963;;;340.981;;357.538;;;879.413;;2921.509;2565.358;;;55.557;298.699;222.156;165.758;13692.98;104.733;601.238;950.066;;1941.205;432.045;139.382;208.561;;;122.924;;379.085;305;;1085.392;561.293;1424.864;;;161.146;;;921.863;;1868.413;618.303;597.642;170.158;;70.069;615.491;370.388;140.974;;31.149;160.015;3639.291;480.972;81.527;106.527;;;;5.534;1005.396;;;;336.114;15626.415;55.407;;31.228;619.798;196.524;28.946;;;31.304;;330.804;8594.326;;179.596;;169.786;;;;
Todos os Santos;78.881;;19.996;;;;;160.849;111.457;;409.429;52.622;512.114;20.897;;;580.924;;;;;417.378;;470.892;590.574;;;;;;;55.244;154.986;;113.75;397.784;180.167;;;508.256;;1721.775;51.124;321.472;83.371;1390.171;2743.472;1422.243;124.713;;;97.529;;532.769;;;;275.305;;63.792;;440.998;;102.769;;47.862;;496.906;770.955;;;336.445;1514.247;;67.272;;;;;;;;;210.996;;;936.794;193.603;;95.007;238.284;332.399;2483.641;232.131;;1417.174;;;;;172.937;;;67.56;;72.389;323.902;411.359;1417.44;;;;;226.435;89.365;1493.788;;260.016;;79.945;;;;98.373;;;53.247;;;;;;;;;;531.457;;;;;104.801;181.01;;61.865;9.052;;;;;171.693;;;1426.821;;394.034;;274.788;;;;
Tomás Coelho;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Turiaçu;;;;;46.228;;;236.664;110.946;;119.669;;66.934;113.201;;;;;;;65.362;;;201.874;46.302;;;;;;;;235.205;82.614;;121.773;;;;;;411.256;;;;;51.497;;;;;;;43.13;;;;;;189.395;;;;;;;;;729.735;;;151.952;129.086;;;;;;;;;;;;;;748.928;239.602;;;334.25;479.202;;76.986;;;;675.639;;;;;;;;;;143.278;65.078;;;;;;;145.228;;;;;;;;;422.053;;;;36.656;;;137.887;;;;;129.613;;;;;41.546;150.377;;257.679;;89.357;;;;55.295;;;124.534;;;;;;;;
Urca;;;118.402;;;;;;307.474;;;;;8.036;;;;;228.682;;;189.877;;;219.718;;;;13.88;399.435;;;;;;1244.899;610.719;;;1382.769;6.429;301.077;14.636;;;75.284;;;16.27;205.706;;;;19.226;;;18.858;;;;;595.595;;;32.628;;;262.914;92.095;;;10.787;78.319;;;40.161;;;;;83.431;;1072.523;83.504;520.44;;;;92.76;72.262;2991.183;;85.598;4.42;;213.324;14.506;;;;;;;57.313;;;8.111;3.665;;;;;;;;61.939;195.132;165.593;;;;;;45.476;;;27.978;;911.084;20.234;17.4;9.003;;;;71.155;219.076;;;;100.797;968.35;6.47;;;1259.884;;;;;;;;114.966;;;;;;;;
Vargem Grande;;;;;;;;477.418;5465.089;;;;;;;;;;;101.765;;56.294;;42.861;;;;;;;;;;;;48.242;;;;;617.516;;;;;;153.794;;;;27.4;302.952;60.937;;;;;;;;74.736;;;;42.721;;;;65.824;;;602.865;;;;;;;;;;;;;;;84.192;;;;89.799;;;;;;;;;;;;;;;;;;;;;;;;;;;;4766.433;;;;;;;;;;;;;;;;;;;;311.489;;;130.343;;;68.106;;1509.583;1467.484;;;;;;;;;;358.461;;;;
Vargem Pequena;;;;;;;;;2348.78;;;;;;;;;;;401.397;;129.427;;;;;;;;;53.39;;;;;60.959;;;;;529.654;;;;;;;;26.361;;;699.223;;;;;;;288.028;;77.522;282.61;;;21.626;;;164.82;189.705;;;2472.255;54.381;;;;;;;;;;;103.373;;;125.024;;;;412.351;;;;;;;;;;;;;;;;103.964;372.446;257.293;;;;;57.195;;;;;808.012;;;;;;;;;;97.689;;;;;;;;99.694;;99.694;;;279.047;;;;;1439.598;1771.148;;;;;117.6;;;;;320.103;;;;
Vasco da Gama;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vaz Lobo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vicente de Carvalho;;;;;;;;;174.113;;;;;;;;;;92.852;;;;88.798;663.792;;;;;25.408;48.671;;;;;188.324;48.925;;;;;;300.297;20.882;;;;339.446;1457.498;;;;20.679;536.437;;;;;124.066;;;;55.979;;41.877;;;;;67.333;;;19.895;43.828;;;;;;;;;;49.918;;;;747.895;;46.426;;182.235;80.181;;107.019;;276.051;;;;;129.789;;;65.013;;;;148.816;46.426;;;;;;;338.068;;;;;;;;;;;;;;;;;;;;;179.194;;;;;179.893;154.963;;21.952;;;;;;59.267;;;145.204;;67.507;;;;;;
Vidigal;;;;;;242.719;;;305.742;;;;;;;;;;583.592;;;;;;;;;;;;;;;;;686.549;;;;;;;;;;;;;;444.932;;;;;;;;;;;239.928;943.867;;;;;;967.309;;;;;;;;;;;;;78.435;;223.632;1162.578;55.091;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.465;;;;;;328.162;;;;;;;;;;61.93;;;;;;;;;;
Vigário Geral;;;5.631;;97.373;;;236.664;57.901;;;;;;;4805.037;;;77.274;;;;;;;;;;;;;;;;;44.138;743.213;;;;;;;;;;;;73.609;77.388;;;;;;;;;;;;;;;;;;;3311.81;;;;;;1602.18;;;75.296;;;;;169.043;;;;929.134;;;;130.45;186.03;307.8;121.465;;;;105.571;139.371;;124.736;;;645.498;;;2188.263;3780.349;;;;;;;;93.604;;;;;;165.524;;53.384;;;;612.472;129.626;;;51.776;;;;;516.994;;;;149.794;140.968;;;;;;;;;;;1308.378;129.626;;;;151.568;;;;
Vila Isabel;;;55.441;;2201.595;;;338.886;2664.146;;;53.04;;315.652;;;483.701;;1041.214;;30.783;;;44.601;135.646;;;;1242.602;16.502;;;;;717.238;759.48;627.284;;;;412.56;710.712;28.735;;;3396.721;377.012;596.743;220.031;;703.949;144.923;1360.891;1189.477;;;45.866;5164.369;;97.12;;60.639;;26.631;;;;536.891;994.509;;;583.064;1366.354;;;357.159;;;;;;;770.773;140.088;24.396;;531.527;119.525;313.663;288.959;5644.109;;174.758;2304.511;;2246.447;279.366;66.919;;;241.411;;;153.632;;;766.845;767.36;294.513;;;;;290.504;1726.07;156.315;106.35;;309.593;278.712;;;;452.38;138.185;;;;559.793;40.177;;867.936;;;;;2345.905;;;;;5947.935;2141.812;;93.564;78.812;;;;;130.399;;101.079;4842.689;;164.862;;84.288;;;;
Vila Kennedy;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vila Kosmos;187.943;;47.926;854.383;;;;602.013;32.992;;;;;241.255;;;139.823;;368.12;;;;;449.799;62.643;;;;;;;;97.012;;134.932;;;;;;;305.472;57.68;;;269.17;253.106;410.924;;;;;56.203;;;;;;;;;;;;;359.911;;126.853;2005.407;;;;219.849;;;;;;;;;;;;;;745.192;;;;;;53.493;552.176;;1097.962;;134.634;;;;;;;;;;590.949;268.214;;;;;35.098;;298.658;;;;;;;;;;;;;204.904;;;93.788;;;;;219.214;;;;;182.467;471.101;;;;;;;;77.963;;;139.823;;693.268;;;;;;
Vila Militar;;;;55.903;12.682;;;90.872;;;;;180.771;;;;;;15.944;14.394;;158.303;45.05;;;;;;;;;;18.83;;;;;;;;;;113.596;;;;;;;;;;;;;;;;;;;;;76.688;;;;;15.527;;;;;;;;;13.477;122.776;;;;22.464;;;;;;;18.83;17.443;33.696;;;;27.729;;;;;;256.3;;61.765;;;;1544.081;50.63;;;;;29.706;37.431;;;262.106;;;;;27.382;;;;;32.849;18.523;;;;38.804;;;;16.982;;10.737;;;;;;;;;;;;;;;;;;123.923;109.274;;;;
Vila Valqueire;84.257;;;241.355;;134.215;;5127.507;2862.787;;;;2952.622;120.086;;;;;;;1494.775;;1680.37;959.345;99.907;;;;141.251;575.225;;;;;;99.02;;;;;1252.131;906.42;4.603;;;;381.439;;100.156;;;337.986;;;;;97.741;;;170.974;;1502.904;;;;;;136.471;1253.414;50.271;;757.014;390.72;;;;;;1253.928;;;;;2040.441;;;5809.016;;;;1522.655;1648.231;627.82;311.968;;1048.32;321.278;2152.24;;;277.847;;;134.332;;;154.586;1285.345;632.357;;;;;2838.274;;637.61;;807.466;;;;;;;930.122;;;189.972;;;;;;;;;343.754;;1209.97;;;550.455;177.36;;;;236.445;164.802;;;;;200.142;168.324;;;186.733;11552.692;;;;
Vila da Penha;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vista Alegre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Zumbi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Água Santa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
